list(x=c(1.6837482, 2.0937042,   1.7325813,   1.7797540,   4.6120059,
8.7252738,   7.8989751,   2.2080454,   1.4860908,   2.7961713,
7.3206442,   3.3674963,   1.4641288,   1.7222225,  11.3748170,
2.4827394,  26.2146413,   2.0024305,   4.5300146,   1.8417526,
3.8067350,  14.1220761,   5.4242533,  11.7130307,   1.5153734,
2.5385886,   2.0497804,  12.4655930,   1.7354451,   1.6837482,
3.3238521,   1.8210249,   2.4158126,   1.4641288,   5.8759019,
1.7924392,   3.3382138,   1.5844876,   1.9313206,   2.0497804,
1.5737584,   1.7569546,   4.9311859,   5.4172767,   1.5373353,
17.5695461,  1.6911230,   1.5816120,   1.4671157,   2.0497804,
1.9287116,   3.2631537,   1.7042460,   2.0746076,   3.2942899,
1.8399751,   7.3206442,   7.3206442,   1.5762152,   4.8560981,
1.5422753,  13.6207906,   1.7569546,   1.6398243,   2.0363777,
21.9619327,  1.7990264,   2.4524158,   2.6691069,   2.0241464,
1.7247438,   1.6438638,   1.9619327,   4.6266471,   1.4641288,
3.9632504,   5.5638521,   4.3923865,   3.6403133,   1.6778917,
1.4494876, 263.2503660,   2.5007321,   1.8257687,   9.8828697,
2.1466179,   2.8702592,   6.3199136,   2.1234612,   2.9238653,
2.0363763,   1.7364568,   2.0497804,   1.9033675,   1.6105417,
1.7174231,   3.1294378,   2.0519575,   1.9675183,   2.1024890,
3.2591508,   1.9985359,   5.4172767,   2.8198360,   3.6970835,
2.0453880,   2.6793558,   3.4262240,   1.5885798,   4.2628712,
1.7558594,   1.9870059,   1.6619253,   7.6134700,   1.7948785,
6.6748170,   2.1859444,   3.8550512,   3.2210835,   2.1229868,
1.7602914,   2.0416530,   3.7559385,   2.2421113,   1.7211127,
1.4641288,   4.7118917,   2.1538243,   3.8748126,  19.0702782,
1.8872621,   1.4641288,   1.5361640,   2.5600659,   2.7997072,
2.0131772,   1.4641288,   6.3250366,   1.5673001,   2.1961933,
2.3352855,   2.1156662,   1.4695447,   5.4026354,   5.3147877,
